DÍA,FECHA,CLIENTES_AM,CLIENTES_PM,CLIENTES_TOTAL,VENTAS_AM,VENTAS_PM,VENTAS_TOTALES
DOMINGO,19/05/2019,,,256,,,4645
LUNES,20/05/2019,,,236,,,3237
MARTES,21/05/2019,,,215,,,2778
MIÉRCOLES,22/05/2019,,,226,,,2930
JUEVES,23/05/2019,,,288,,,4081
VIERNES,24/05/2019,,,280,,,4192
SÁBADO,25/05/2019,,,352,,,6621
DOMINGO,26/05/2019,,,188,,,3424
LUNES,27/05/2019,,,205,,,2930
MARTES,28/05/2019,,,184,,,2547
MIÉRCOLES,29/05/2019,,,199,,,2578
JUEVES,30/05/2019,,,248,,,"3511,82"
VIERNES,31/05/2019,,,271,,,"4031,77"
SÁBADO,1/06/2019,,,170,,,3393
DOMINGO,2/06/2019,,,162,,,3108
LUNES,3/06/2019,,,228,,,3163
MARTES,4/06/2019,,,235,,,3221
MIÉRCOLES,5/06/2019,,,261,,,3636
JUEVES,6/06/2019,,,271,,,3819
VIERNES,7/06/2019,,,298,,,4195
SÁBADO,8/06/2019,,,384,,,7213
DOMINGO,9/06/2019,,,228,,,4647
LUNES,10/06/2019,,,243,,,3192
MARTES,11/06/2019,,,239,,,3316
MIÉRCOLES,12/06/2019,,,244,,,3316
JUEVES,13/06/2019,,,281,,,4060
VIERNES,14/06/2019,,,268,,,4200
SÁBADO,15/06/2019,,,395,,,7297
DOMINGO,16/06/2019,,,216,,,3973
LUNES,17/06/2019,,,175,,,2329
MARTES,18/06/2019,,,172,,,2385
MIÉRCOLES,19/06/2019,,,246,,,3428
JUEVES,20/06/2019,,,254,,,3234
VIERNES,21/06/2019,,,258,,,3586
SÁBADO,22/06/2019,,,288,,,5487
DOMINGO,23/06/2019,,,208,,,3938
LUNES,24/06/2019,,,170,,,2273
MARTES,25/06/2019,,,199,,,2512
MIÉRCOLES,26/06/2019,,,283,,,3906
JUEVES,27/06/2019,,,241,,,"3518,06"
VIERNES,28/06/2019,,,252,,,"3782,77"
SÁBADO,29/06/2019,,,253,,,"4817,14"
DOMINGO,30/06/2019,,,170,,,3176
LUNES,1/07/2019,,,232,,,"2871,36"
MARTES,2/07/2019,,,198,,,2839
MIÉRCOLES,3/07/2019,,,311,,,5036
JUEVES,4/07/2019,,,266,,,3828
VIERNES,5/07/2019,,,277,,,4140
SÁBADO,6/07/2019,,,300,,,5315
DOMINGO,7/07/2019,,,164,,,3177
LUNES,8/07/2019,,,246,,,3363
MARTES,9/07/2019,,,213,,,2942
MIÉRCOLES,10/07/2019,,,218,,,3223
JUEVES,11/07/2019,,,196,,,2700
VIERNES,12/07/2019,,,220,,,3193
SÁBADO,13/07/2019,,,254,,,4805
DOMINGO,14/07/2019,,,209,,,3583
LUNES,15/07/2019,,,187,,,2613
