DÍA,FECHA,CLIENTES_AM,CLIENTES_PM,CLIENTES_TOTAL
DOMINGO,30/06/2019,,,170
LUNES,1/07/2019,,,232
MARTES,2/07/2019,,,198
MIÉRCOLES,3/07/2019,,,311
JUEVES,4/07/2019,,,266
VIERNES,5/07/2019,,,277
SÁBADO,6/07/2019,,,300
DOMINGO,7/07/2019,,,164
LUNES,8/07/2019,,,246
MARTES,9/07/2019,,,213
MIÉRCOLES,10/07/2019,,,218
JUEVES,11/07/2019,,,196
VIERNES,12/07/2019,,,220
SÁBADO,13/07/2019,,,254
DOMINGO,14/07/2019,,,209
LUNES,15/07/2019,,,187
MARTES,16/07/2019,,,212
MIÉRCOLES,17/07/2019,,,258
JUEVES,18/07/2019,,,231
VIERNES,19/07/2019,,,244
SÁBADO,20/07/2019,,,206
DOMINGO,21/07/2019,,,150
LUNES,22/07/2019,,,137
MARTES,23/07/2019,,,154
MIÉRCOLES,24/07/2019,,,206
JUEVES,25/07/2019,,,181
VIERNES,26/07/2019,,,234
SÁBADO,27/07/2019,,,242
DOMINGO,28/07/2019,,,117
LUNES,29/07/2019,,,154
MARTES,30/07/2019,,,115
MIÉRCOLES,31/07/2019,,,163
JUEVES,1/08/2019,,,215
VIERNES,2/08/2019,,,215
SÁBADO,3/08/2019,,,215
DOMINGO,4/08/2019,,,164
LUNES,5/08/2019,,,173
MARTES,6/08/2019,,,192
MIÉRCOLES,7/08/2019,,,277
JUEVES,8/08/2019,,,269
VIERNES,9/08/2019,,,222
SÁBADO,10/08/2019,,,228
DOMINGO,11/08/2019,,,169
LUNES,12/08/2019,,,229
MARTES,13/08/2019,,,214
MIÉRCOLES,14/08/2019,,,168
JUEVES,15/08/2019,,,181
VIERNES,16/08/2019,,,241
SÁBADO,17/08/2019,,,215
DOMINGO,18/08/2019,,,124
LUNES,19/08/2019,,,149
MARTES,20/08/2019,,,186
MIÉRCOLES,21/08/2019,,,238
JUEVES,22/08/2019,,,197
VIERNES,23/08/2019,,,245
SÁBADO,24/08/2019,,,218
DOMINGO,25/08/2019,,,131
LUNES,26/08/2019,,,187
MARTES,27/08/2019,,,258
MIÉRCOLES,28/08/2019,,,240
JUEVES,29/08/2019,,,193
VIERNES,30/08/2019,,,253
SÁBADO,31/08/2019,,,264
DOMINGO,1/09/2019,,,162
LUNES,2/09/2019,,,164
MARTES,3/09/2019,,,169
MIÉRCOLES,4/09/2019,,,226
JUEVES,5/09/2019,,,259
VIERNES,6/09/2019,,,244
SÁBADO,7/09/2019,,,317
DOMINGO,8/09/2019,,,202
LUNES,9/09/2019,,,191
MARTES,10/09/2019,,,204
MIÉRCOLES,11/09/2019,,,323
JUEVES,12/09/2019,,,266
VIERNES,13/09/2019,,,239
SÁBADO,14/09/2019,,,289
DOMINGO,15/09/2019,,,165
LUNES,16/09/2019,,,225
MARTES,17/09/2019,,,188
MIÉRCOLES,18/09/2019,,,212
JUEVES,19/09/2019,,,238
VIERNES,20/09/2019,,,287
SÁBADO,21/09/2019,,,406
DOMINGO,22/09/2019,,,245
LUNES,23/09/2019,,,206
MARTES,24/09/2019,,,245
MIÉRCOLES,25/09/2019,,,239
JUEVES,26/09/2019,,,288
VIERNES,27/09/2019,,,375
SÁBADO,28/09/2019,,,390
DOMINGO,29/09/2019,,,324
LUNES,30/09/2019,,,216
MARTES,1/10/2019,,,183
MIÉRCOLES,2/10/2019,,,231
JUEVES,3/10/2019,,,240
VIERNES,4/10/2019,,,349
SÁBADO,5/10/2019,,,458
DOMINGO,6/10/2019,,,254
LUNES,7/10/2019,,,223
MARTES,8/10/2019,,,220
MIÉRCOLES,9/10/2019,,,245
JUEVES,10/10/2019,,,295
VIERNES,11/10/2019,,,299
SÁBADO,12/10/2019,,,442
DOMINGO,13/10/2019,,,248
LUNES,14/10/2019,,,207
MARTES,15/10/2019,,,225
MIÉRCOLES,16/10/2019,,,197
JUEVES,17/10/2019,,,240
VIERNES,18/10/2019,,,379
SÁBADO,19/10/2019,,,454
DOMINGO,20/10/2019,,,294
LUNES,21/10/2019,,,267
MARTES,22/10/2019,,,288
MIÉRCOLES,23/10/2019,,,244
JUEVES,24/10/2019,,,243
VIERNES,25/10/2019,,,293
SÁBADO,26/10/2019,,,482
DOMINGO,27/10/2019,,,237
LUNES,28/10/2019,,,276
MARTES,29/10/2019,,,200
MIÉRCOLES,30/10/2019,,,250
JUEVES,31/10/2019,,,283
VIERNES,1/11/2019,,,454
SÁBADO,2/11/2019,,,496
DOMINGO,3/11/2019,,,237
LUNES,4/11/2019,,,236
MARTES,5/11/2019,,,213
MIÉRCOLES,6/11/2019,,,264
JUEVES,7/11/2019,,,257
VIERNES,8/11/2019,,,355
SÁBADO,9/11/2019,,,461
DOMINGO,10/11/2019,,,174
LUNES,11/11/2019,,,235
MARTES,12/11/2019,,,202
MIÉRCOLES,13/11/2019,,,252
JUEVES,14/11/2019,,,240
VIERNES,15/11/2019,,,398
SÁBADO,16/11/2019,,,509
DOMINGO,17/11/2019,,,226
LUNES,18/11/2019,,,247
MARTES,19/11/2019,,,229
MIÉRCOLES,20/11/2019,,,210
JUEVES,21/11/2019,,,241
VIERNES,22/11/2019,,,356
SÁBADO,23/11/2019,,,519
DOMINGO,24/11/2019,,,341
