DÍA,FECHA,CLIENTES_AM,CLIENTES_PM,CLIENTES_TOTAL
MIÉRCOLES,11/01/2023,129,34,163
JUEVES,12/01/2023,107,30,137
VIERNES,13/01/2023,126,90,216
SÁBADO,14/01/2023,142,107,249
DOMINGO,15/01/2023,126,15,141
LUNES,16/01/2023,82,21,103
MARTES,17/01/2023,87,24,111
MIÉRCOLES,18/01/2023,134,59,193
JUEVES,19/01/2023,106,55,161
VIERNES,20/01/2023,142,94,236
SÁBADO,21/01/2023,122,107,229
DOMINGO,22/01/2023,87,32,119
LUNES,23/01/2023,99,26,125
MARTES,24/01/2023,110,13,123
MIÉRCOLES,25/01/2023,114,23,137
JUEVES,26/01/2023,121,21,142
VIERNES,27/01/2023,145,99,244
SÁBADO,28/01/2023,136,107,243
DOMINGO,29/01/2023,97,14,111
LUNES,30/01/2023,129,14,143
MARTES,31/01/2023,100,22,122
MIÉRCOLES,1/02/2023,112,19,131
JUEVES,2/02/2023,125,29,154
VIERNES,3/02/2023,129,83,212
SÁBADO,4/02/2023,117,107,224
DOMINGO,5/02/2023,106,24,130
LUNES,6/02/2023,96,17,113
MARTES,7/02/2023,121,17,138
MIÉRCOLES,8/02/2023,112,15,127
JUEVES,9/02/2023,123,45,168
VIERNES,10/02/2023,116,113,229
SÁBADO,11/02/2023,133,113,246
DOMINGO,12/02/2023,105,28,133
LUNES,13/02/2023,79,21,100
MARTES,14/02/2023,102,38,140
MIÉRCOLES,15/02/2023,98,41,139
JUEVES,16/02/2023,110,26,136
VIERNES,17/02/2023,101,85,186
SÁBADO,18/02/2023,118,108,226
DOMINGO,19/02/2023,103,38,141
LUNES,20/02/2023,115,15,130
MARTES,21/02/2023,98,45,143
MIÉRCOLES,22/02/2023,116,31,147
JUEVES,23/02/2023,116,37,153
VIERNES,24/02/2023,132,93,225
SÁBADO,25/02/2023,126,127,253
DOMINGO,26/02/2023,101,30,131
LUNES,27/02/2023,93,21,114
MARTES,28/02/2023,134,7,141
MIÉRCOLES,1/03/2023,140,25,165
JUEVES,2/03/2023,124,29,153
VIERNES,3/03/2023,135,84,219
SÁBADO,4/03/2023,149,123,272
DOMINGO,5/03/2023,104,24,128
LUNES,6/03/2023,74,26,100
MARTES,7/03/2023,115,37,152
MIÉRCOLES,8/03/2023,85,62,147
JUEVES,9/03/2023,124,17,141
VIERNES,10/03/2023,108,67,175
SÁBADO,11/03/2023,118,125,243
DOMINGO,12/03/2023,115,11,126
LUNES,13/03/2023,102,27,129
MARTES,14/03/2023,103,42,145
MIÉRCOLES,15/03/2023,98,40,138
JUEVES,16/03/2023,123,32,155
VIERNES,17/03/2023,125,116,241
SÁBADO,18/03/2023,121,141,262
DOMINGO,19/03/2023,125,60,185
LUNES,20/03/2023,108,36,144
MARTES,21/03/2023,99,86,185
MIÉRCOLES,22/03/2023,104,14,118
JUEVES,23/03/2023,109,20,129
VIERNES,24/03/2023,114,111,225
SÁBADO,25/03/2023,114,123,237
DOMINGO,26/03/2023,105,77,182
LUNES,27/03/2023,71,20,91
MARTES,28/03/2023,108,23,131
MIÉRCOLES,29/03/2023,130,35,165
JUEVES,30/03/2023,124,33,157
VIERNES,31/03/2023,115,82,197
SÁBADO,1/04/2023,121,129,250
DOMINGO,2/04/2023,110,70,180
LUNES,3/04/2023,90,28,118
MARTES,4/04/2023,101,49,150
MIÉRCOLES,5/04/2023,117,30,147
JUEVES,6/04/2023,98,83,181
VIERNES,7/04/2023,90,99,189
SÁBADO,8/04/2023,107,73,180
DOMINGO,9/04/2023,59,39,98
LUNES,10/04/2023,98,6,104
MARTES,11/04/2023,88,43,131
MIÉRCOLES,12/04/2023,105,33,138
JUEVES,13/04/2023,104,16,120
VIERNES,14/04/2023,120,103,223
SÁBADO,15/04/2023,95,83,178
DOMINGO,16/04/2023,0,0,0
LUNES,17/04/2023,91,37,128
MARTES,18/04/2023,88,18,106
MIÉRCOLES,19/04/2023,95,15,110
JUEVES,20/04/2023,88,28,116
VIERNES,21/04/2023,93,96,189
SÁBADO,22/04/2023,131,95,226
DOMINGO,23/04/2023,82,26,108
LUNES,24/04/2023,110,26,136
MARTES,25/04/2023,93,41,134
MIÉRCOLES,26/04/2023,88,18,106
JUEVES,27/04/2023,74,39,113
VIERNES,28/04/2023,86,71,157
SÁBADO,29/04/2023,81,107,188
DOMINGO,30/04/2023,101,40,141
LUNES,1/05/2023,86,32,118
MARTES,2/05/2023,60,11,71
MIÉRCOLES,3/05/2023,75,47,122
JUEVES,4/05/2023,60,20,80
VIERNES,5/05/2023,47,56,103
SÁBADO,6/05/2023,98,100,198
DOMINGO,7/05/2023,65,41,106
LUNES,8/05/2023,68,30,98
MARTES,9/05/2023,81,11,92
MIÉRCOLES,10/05/2023,73,65,138
JUEVES,11/05/2023,82,23,105
VIERNES,12/05/2023,80,54,134
SÁBADO,13/05/2023,77,58,135
DOMINGO,14/05/2023,80,19,99
LUNES,15/05/2023,59,25,84
MARTES,16/05/2023,81,24,105
MIÉRCOLES,17/05/2023,103,60,163
JUEVES,18/05/2023,86,33,119
VIERNES,19/05/2023,92,70,162
SÁBADO,20/05/2023,69,63,132
DOMINGO,21/05/2023,84,33,117
LUNES,22/05/2023,86,30,116
MARTES,23/05/2023,78,27,105
MIÉRCOLES,24/05/2023,78,36,114
JUEVES,25/05/2023,85,26,111
VIERNES,26/05/2023,85,63,148
SÁBADO,27/05/2023,93,94,187
DOMINGO,28/05/2023,81,35,116
LUNES,29/05/2023,78,38,116
MARTES,30/05/2023,71,21,92
MIÉRCOLES,31/05/2023,77,28,105
JUEVES,1/06/2023,107,29,136
VIERNES,2/06/2023,70,69,139
SÁBADO,3/06/2023,88,82,170
DOMINGO,4/06/2023,81,32,113
LUNES,5/06/2023,75,36,111
MARTES,6/06/2023,124,44,168
MIÉRCOLES,7/06/2023,94,32,126
JUEVES,8/06/2023,84,27,111
VIERNES,9/06/2023,82,59,141
SÁBADO,10/06/2023,143,82,225
DOMINGO,11/06/2023,65,29,94
LUNES,12/06/2023,92,22,114
MARTES,13/06/2023,91,49,140
MIÉRCOLES,14/06/2023,118,22,140
JUEVES,15/06/2023,95,13,108
VIERNES,16/06/2023,76,63,139
SÁBADO,17/06/2023,90,78,168
DOMINGO,18/06/2023,74,25,99
LUNES,19/06/2023,70,35,105
MARTES,20/06/2023,74,28,102
MIÉRCOLES,21/06/2023,73,27,100
JUEVES,22/06/2023,99,23,122
VIERNES,23/06/2023,68,78,146
SÁBADO,24/06/2023,79,93,172
DOMINGO,25/06/2023,70,30,100
LUNES,26/06/2023,71,51,122
MARTES,27/06/2023,91,60,151
MIÉRCOLES,28/06/2023,82,30,112
JUEVES,29/06/2023,80,16,96
VIERNES,30/06/2023,82,72,154
SÁBADO,1/07/2023,82,40,122
DOMINGO,2/07/2023,94,28,122
LUNES,3/07/2023,106,48,154
MARTES,4/07/2023,82,44,126
MIÉRCOLES,5/07/2023,70,22,92
JUEVES,6/07/2023,86,26,112
VIERNES,7/07/2023,61,44,105
SÁBADO,8/07/2023,99,94,193
DOMINGO,9/07/2023,33,40,73
LUNES,10/07/2023,112,15,127
MARTES,11/07/2023,81,42,123
MIÉRCOLES,12/07/2023,113,11,124
JUEVES,13/07/2023,90,29,119
VIERNES,14/07/2023,80,48,128
SÁBADO,15/07/2023,84,68,152
DOMINGO,16/07/2023,40,12,52
LUNES,17/07/2023,66,24,90
MARTES,18/07/2023,82,11,93
MIÉRCOLES,19/07/2023,87,46,133
JUEVES,20/07/2023,93,36,129
VIERNES,21/07/2023,53,59,112
SÁBADO,22/07/2023,62,62,124
DOMINGO,23/07/2023,29,22,51
LUNES,24/07/2023,77,16,93
MARTES,25/07/2023,92,40,132
MIÉRCOLES,26/07/2023,65,40,105
JUEVES,27/07/2023,90,16,106
VIERNES,28/07/2023,40,47,87
SÁBADO,29/07/2023,73,38,111
DOMINGO,30/07/2023,81,26,107
LUNES,31/07/2023,75,15,90
MARTES,1/08/2023,47,32,79
MIÉRCOLES,2/08/2023,80,21,101
JUEVES,3/08/2023,70,24,94
VIERNES,4/08/2023,74,29,103
SÁBADO,5/08/2023,71,69,140
DOMINGO,6/08/2023,64,40,104
LUNES,7/08/2023,72,50,122
MARTES,8/08/2023,83,45,128
MIÉRCOLES,9/08/2023,106,30,136
JUEVES,10/08/2023,63,35,98
VIERNES,11/08/2023,73,43,116
SÁBADO,12/08/2023,64,59,123
DOMINGO,13/08/2023,76,21,97
LUNES,14/08/2023,111,25,136
MARTES,15/08/2023,91,15,106
MIÉRCOLES,16/08/2023,104,16,120
JUEVES,17/08/2023,84,25,109
VIERNES,18/08/2023,82,29,111
SÁBADO,19/08/2023,67,73,140
DOMINGO,20/08/2023,47,40,87
LUNES,21/08/2023,75,21,96
MARTES,22/08/2023,103,26,129
MIÉRCOLES,23/08/2023,123,23,146
JUEVES,24/08/2023,121,20,141
VIERNES,25/08/2023,59,63,122
SÁBADO,26/08/2023,84,79,163
DOMINGO,27/08/2023,91,21,112
LUNES,28/08/2023,68,37,105
MARTES,29/08/2023,111,16,127
MIÉRCOLES,30/08/2023,107,59,166
JUEVES,31/08/2023,102,30,132
VIERNES,01/09/2023,68,69,137
SÁBADO,02/09/2023,101,70,171
DOMINGO,03/09/2023,74,8,82
LUNES,04/09/2023,66,12,78
MARTES,05/09/2023,81,24,105
MIÉRCOLES,06/09/2023,112,76,188
JUEVES,07/09/2023,81,35,116
VIERNES,08/09/2023,86,108,194
SÁBADO,09/09/2023,132,129,261
DOMINGO,10/09/2023,103,132,235
LUNES,11/09/2023,90,17,107
MARTES,12/09/2023,109,38,147
MIÉRCOLES,13/09/2023,96,84,180
JUEVES,14/09/2023,89,26,115
VIERNES,15/09/2023,59,49,108
SÁBADO,16/09/2023,106,99,205
DOMINGO,17/09/2023,89,37,126
LUNES,18/09/2023,77,22,99
MARTES,19/09/2023,91,21,112
MIÉRCOLES,20/09/2023,107,64,171
JUEVES,21/09/2023,97,45,142
VIERNES,22/09/2023,110,72,182
SÁBADO,23/09/2023,135,69,204
DOMINGO,24/09/2023,181,19,200
LUNES,25/09/2023,129,30,159
MARTES,26/09/2023,105,23,128
MIÉRCOLES,27/09/2023,80,107,187
JUEVES,28/09/2023,122,47,169
VIERNES,29/09/2023,134,114,248
SÁBADO,30/09/2023,148,108,256
DOMINGO,01/10/2023,111,18,129
LUNES,02/10/2023,80,40,120
MARTES,03/10/2023,98,37,135
MIÉRCOLES,04/10/2023,122,43,165
JUEVES,05/10/2023,131,22,153
VIERNES,06/10/2023,103,63,166
SÁBADO,07/10/2023,165,164,329
DOMINGO,08/10/2023,164,43,207
LUNES,09/10/2023,91,23,114
MARTES,10/10/2023,119,44,163
MIÉRCOLES,11/10/2023,89,40,129
JUEVES,12/10/2023,166,61,227
VIERNES,13/10/2023,173,96,269
SÁBADO,14/10/2023,217,127,344
DOMINGO,15/10/2023,123,26,149
LUNES,16/10/2023,89,45,134
MARTES,17/10/2023,105,35,140
MIÉRCOLES,18/10/2023,132,51,183
JUEVES,19/10/2023,79,74,153
VIERNES,20/10/2023,122,145,267
SÁBADO,21/10/2023,196,186,382
DOMINGO,22/10/2023,152,46,198
